rolling_window,pattern,Freq,outcome,analysis,exposure,cumdays,pattern_rt_gap,pattern_lagged,pattern_itt,cumdose
41,intermittent,12,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
42,intermittent,10,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
43,intermittent,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
44,intermittent,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
45,intermittent,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
46,intermittent,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
47,intermittent,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
48,intermittent,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
1,continuous,300,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
2,continuous,27,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
3,continuous,23,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
4,continuous,26,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
5,continuous,26,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
6,continuous,11,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
7,continuous,21,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
8,continuous,15,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
9,continuous,14,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
10,continuous,10,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
11,continuous,21,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
12,continuous,11,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
13,continuous,21,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
14,continuous,13,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
15,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
16,continuous,14,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
17,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
18,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
19,continuous,10,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
20,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
21,continuous,14,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
22,continuous,10,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
23,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
24,continuous,10,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
25,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
26,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
27,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
28,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
29,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
30,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
31,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
32,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
33,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
34,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
35,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
36,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
37,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
38,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
39,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
40,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
41,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
42,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
43,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
44,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
45,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
46,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
47,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
48,continuous,NA,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
1,NA,20,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
2,NA,16,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
3,NA,14,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
4,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
5,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
6,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
7,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
8,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
9,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
10,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
11,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
12,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
13,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
14,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
15,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
16,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
17,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
18,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
19,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
20,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
21,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
22,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
23,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
24,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
25,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
26,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
27,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
28,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
29,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
30,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
31,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
32,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
33,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
34,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
35,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
36,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
37,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
38,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
39,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
40,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
41,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
42,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
43,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
44,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
45,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
46,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
47,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
48,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,few,NA,NA,NA,NA
1,NA,905,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
2,NA,904,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
3,NA,898,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
4,NA,887,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
5,NA,875,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
6,NA,867,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
7,NA,853,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
8,NA,839,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
9,NA,821,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
10,NA,807,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
11,NA,787,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
12,NA,766,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
13,NA,750,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
14,NA,724,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
15,NA,694,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
16,NA,669,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
17,NA,633,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
18,NA,597,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
19,NA,549,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
20,NA,516,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
21,NA,485,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
22,NA,439,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
23,NA,396,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
24,NA,350,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
25,NA,317,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
26,NA,280,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
27,NA,249,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
28,NA,223,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
29,NA,185,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
30,NA,159,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
31,NA,148,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
32,NA,123,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
33,NA,103,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
34,NA,83,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
35,NA,71,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
36,NA,55,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
37,NA,43,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
38,NA,30,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
39,NA,21,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
40,NA,16,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
41,NA,13,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
42,NA,10,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
43,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
44,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
45,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
46,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
47,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
48,NA,NA,bisphosphonate,sens_all_follow_up,cumdays,many,NA,NA,NA,NA
1,NA,239,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
2,NA,238,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
3,NA,237,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
4,NA,233,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
5,NA,230,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
6,NA,229,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
7,NA,226,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
8,NA,220,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
9,NA,214,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
10,NA,212,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
11,NA,206,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
12,NA,202,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
13,NA,200,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
14,NA,193,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
15,NA,187,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
16,NA,183,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
17,NA,172,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
18,NA,162,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
19,NA,149,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
20,NA,133,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
21,NA,128,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
22,NA,119,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
23,NA,107,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
24,NA,93,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
25,NA,82,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
26,NA,73,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
27,NA,64,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
28,NA,61,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
29,NA,48,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
30,NA,41,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
31,NA,37,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
32,NA,32,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
33,NA,29,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
34,NA,21,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
35,NA,18,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
36,NA,14,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
37,NA,13,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
38,NA,NA,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
39,NA,NA,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
40,NA,NA,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
41,NA,NA,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
42,NA,NA,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
43,NA,NA,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
44,NA,NA,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
45,NA,NA,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
46,NA,NA,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
47,NA,NA,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
48,NA,NA,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,intermittent,NA,NA,NA
1,NA,686,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,continuous,NA,NA,NA
2,NA,682,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,continuous,NA,NA,NA
3,NA,675,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,continuous,NA,NA,NA
4,NA,663,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,continuous,NA,NA,NA
5,NA,653,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,continuous,NA,NA,NA
6,NA,644,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,continuous,NA,NA,NA
7,NA,631,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,continuous,NA,NA,NA
8,NA,623,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,continuous,NA,NA,NA
9,NA,609,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,continuous,NA,NA,NA
10,NA,597,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,continuous,NA,NA,NA
11,NA,581,bisphosphonate,sens_all_follow_up,pattern_rt_gap,NA,continuous,NA,NA,NA
