term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,outcome,exposure,model,analysis
carstairs3,2.3265113026604966e-9,20910.25305938929,0.9876346363697497,-20.127783346582014,4.214291000424875e-90,3.357600649036091e-10,1.612060339266649e-8,bisphosphonate,pattern_rt_gap,adjusted_comorb,main
carstairs4,0.8998671105873499,1.416593644588565,1.3567910853529854,-0.0777630267487938,0.9380165577336044,0.0629905953873557,12.855265325518289,bisphosphonate,pattern_rt_gap,adjusted_comorb,main
carstairs5,2.6510627846912404e-9,20443.749355118514,0.954440076687989,-20.690984912378735,4.175957779637724e-95,4.083185843493739e-10,1.7212378171749632e-8,bisphosphonate,pattern_rt_gap,adjusted_comorb,main
asthma1,8.520419931701868e-9,106285.90238865327,1.3431522300707552,-13.833726210306441,1.5953749974447955e-43,6.12586961116343e-10,1.1850979603001164e-7,bisphosphonate,pattern_rt_gap,adjusted_comorb,main
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_rt_gap,adjusted_comorb,main
rheumatoid_arthritis1,1.084054268474265,313505.4477810327,1.1026706133794555,0.07319317659615844,0.9416523961131614,0.12486942044884923,9.411220559629847,bisphosphonate,pattern_rt_gap,adjusted_comorb,main
pattern_laggedcontinuous,2.9879030036049876e-9,48293.67136293879,0.5972903361261835,-32.86290241942835,7.451607041310411e-237,9.2672747523894465e-010,9.633430104842688e-9,bisphosphonate,pattern_lagged,adjusted_comorb,main
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_lagged,adjusted_comorb,main
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_lagged,adjusted_comorb,main
agegroup66-79,253121657.4789889,16174.516195895481,0.5366044959368778,36.058924100018594,9.994495907173094e-285,88424116.78741324,724582566.5293015,bisphosphonate,pattern_lagged,adjusted_comorb,main
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_lagged,adjusted_comorb,main
sex1,0.32141757915443475,1.155213127757785,1.1525622311246029,-0.9847747053991857,0.32473474795625895,0.03357429298568262,3.0770345702753117,bisphosphonate,pattern_lagged,adjusted_comorb,main
carstairs2,1.9828365649265722,1.2254276898180354,1.1976919104311738,0.5715396606496119,0.5676338838805078,0.18958750732474505,20.737868748257174,bisphosphonate,pattern_lagged,adjusted_comorb,main
carstairs3,2.2628586185047286e-9,21052.750457183247,0.9989897033749705,-19.92676889486089,2.3846939456880412e-88,3.1938597644645913e-10,1.6032416902936623e-8,bisphosphonate,pattern_lagged,adjusted_comorb,main
carstairs4,0.9002258097396376,1.4144328269993263,1.4109410235642175,-0.07449613106553954,0.940615619577178,0.05667040070861001,14.300349007383318,bisphosphonate,pattern_lagged,adjusted_comorb,main
carstairs5,2.6539861206061724e-9,20511.014306999557,0.9596981174565754,-20.576473759267266,4.4596698479996425e-94,4.0457787476496915e-10,1.7409855475814278e-8,bisphosphonate,pattern_lagged,adjusted_comorb,main
asthma1,8.076226420690704e-9,107589.93983202879,1.065184451011741,-17.494004050610567,1.5917063864768739e-68,1.001202297605512e-9,6.514710698752543e-8,bisphosphonate,pattern_lagged,adjusted_comorb,main
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_lagged,adjusted_comorb,main
rheumatoid_arthritis1,1.046578980791657,317514.35065939237,1.2715596041743773,0.035803851647581895,0.9714387618671533,0.08658018528308081,12.651018930643797,bisphosphonate,pattern_lagged,adjusted_comorb,main
pattern_ittcontinuous,2.156205362581295,1.005724527314383,1.1170045125328254,0.6878664244868956,0.4915369018057709,0.2414872227971626,19.25245365685228,bisphosphonate,pattern_itt,adjusted_comorb,main
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_itt,adjusted_comorb,main
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_itt,adjusted_comorb,main
agegroup66-79,239495966.52595758,16486.128018984822,0.6014346647034572,32.080038391133975,8.371262836115178e-226,73681097.96261244,778467199.4343458,bisphosphonate,pattern_itt,adjusted_comorb,main
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_itt,adjusted_comorb,main
sex1,0.30761241612819085,1.1580555551194402,1.2216829348970744,-0.9649923429098386,0.3345486470222711,0.028061149746785096,3.372114094044357,bisphosphonate,pattern_itt,adjusted_comorb,main
carstairs2,2.0650567185469084,1.2279827750862147,1.2769472856254882,0.5678838122822458,0.5701138644310149,0.1690411677892638,25.227341402018936,bisphosphonate,pattern_itt,adjusted_comorb,main
carstairs3,2.3957902517024284e-9,20544.494269114675,0.9997953556280251,-19.853615632253337,1.0254972882818542e-87,3.376147746157203e-10,1.700106559816747e-8,bisphosphonate,pattern_itt,adjusted_comorb,main
carstairs4,0.9145021210304782,1.4145914604353174,1.417538899020213,-0.06304976313679284,0.9497268778631555,0.05682944551742533,14.716211318880605,bisphosphonate,pattern_itt,adjusted_comorb,main
carstairs5,3.0269685217345026e-9,20446.541115332733,1.0827813092520018,-18.116035101930567,2.3815104420003894e-73,3.6252902517510053e-10,2.5273944416301782e-8,bisphosphonate,pattern_itt,adjusted_comorb,main
asthma1,9.80478384378894e-9,117980.85493290042,1.3970205903197264,-13.199802172442787,8.796576018673893e-40,6.342959541630314e-10,1.515598288030631e-7,bisphosphonate,pattern_itt,adjusted_comorb,main
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_itt,adjusted_comorb,main
rheumatoid_arthritis1,0.6113436695595971,324430.95434649655,1.1947462825270314,-0.4118832713665186,0.6804249827744022,0.05879163525787097,6.357045193100964,bisphosphonate,pattern_itt,adjusted_comorb,main
cumdose900 to 1500 mg,0.6845384141415468,93794.09908533875,0.9343150761260467,-0.40565599925619794,0.684995376554763,0.10967493602483276,4.272560873245682,bisphosphonate,cumdose,adjusted_comorb,main
cumdose>1500 mg,208399951.25559992,73107.70680909084,0.9413587980803708,20.348213319943692,4.815070460263378e-92,32931502.920809317,1318814382.3187854,bisphosphonate,cumdose,adjusted_comorb,main
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdose,adjusted_comorb,main
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdose,adjusted_comorb,main
agegroup66-79,261472986.7519529,16341.16603685119,0.5385598332570842,35.98827899543994,1.2759787267764008e-283,90992137.37628244,751362972.3660874,bisphosphonate,cumdose,adjusted_comorb,main
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdose,adjusted_comorb,main
sex1,0.3258411164125383,1.1552255982652107,1.1557849083562959,-0.9702024842863166,0.33194557267216934,0.03382205469067368,3.1391479351562297,bisphosphonate,cumdose,adjusted_comorb,main
carstairs2,1.8886285523978292,1.2253447388926941,1.2016501689375478,0.5291481235194069,0.5967027002296326,0.17918434887657186,19.90641387652295,bisphosphonate,cumdose,adjusted_comorb,main
carstairs3,2.3071906906689738e-9,20787.92927675956,1.0028343836496059,-19.83102646657851,1.6072615892938565e-87,3.2319848455743144e-10,1.647015421622025e-8,bisphosphonate,cumdose,adjusted_comorb,main
carstairs4,0.8711595339965987,1.4144285577571645,1.4200274822662222,-0.09713203353121885,0.9226215420495499,0.053872621537875545,14.087284264412625,bisphosphonate,cumdose,adjusted_comorb,main
carstairs5,2.578498949688592e-9,20482.866539043396,0.9604355298500646,-20.59071930924834,3.3239745860225244e-94,3.925027949849572e-10,1.6939132455859285e-8,bisphosphonate,cumdose,adjusted_comorb,main
asthma1,8.014307332357736e-9,107663.42734618916,1.0598350307661375,-17.589565295420122,2.9614059842491875e-69,1.0039978411882434e-9,6.397336665730977e-8,bisphosphonate,cumdose,adjusted_comorb,main
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdose,adjusted_comorb,main
rheumatoid_arthritis1,1.046090516810513,316076.90340332536,1.268313332934569,0.03552741808852153,0.9716591836983033,0.0870921473750092,12.564914315970732,bisphosphonate,cumdose,adjusted_comorb,main
patterncontinuous,4.004878791714509,1.380596181953778,0.7942461955571627,1.7469562002093582,0.08064493600653425,0.8443563799962635,18.995597731369827,bisphosphonate,pattern,adjusted_comorb_severity,main
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern,adjusted_comorb_severity,main
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern,adjusted_comorb_severity,main
agegroup66-79,232631643.61672932,16464.646778942995,0.5555644837178052,34.67638302387505,1.7885934564520216e-263,78301745.46132529,691140169.2641783,bisphosphonate,pattern,adjusted_comorb_severity,main
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern,adjusted_comorb_severity,main
sex1,0.32289137601539153,1.155900938644469,1.1811105483645152,-0.9570986484299411,0.3385174657483321,0.031892849560012794,3.269034976286111,bisphosphonate,pattern,adjusted_comorb_severity,main
carstairs2,2.0672680470296743,1.2265917957939443,1.1786961309517983,0.6161282220933502,0.53780989688593706,0.20515817462378985,20.830742845643954,bisphosphonate,pattern,adjusted_comorb_severity,main
carstairs3,2.381135054357107e-9,21258.220941892516,0.9876846205411192,-20.103267922179942,6.909068316456823e-90,3.436096525876672e-10,1.6500712667382504e-8,bisphosphonate,pattern,adjusted_comorb_severity,main
carstairs4,0.8935519296317201,1.4154786051007004,1.3954954761752143,-0.08065294990306773,0.9357179553926004,0.05797915667930544,13.771070444588872,bisphosphonate,pattern,adjusted_comorb_severity,main
carstairs5,2.9830374704272514e-9,20138.82797254221,0.9737351039604749,-20.15981932902181,2.2068635114867197e-90,4.423987441635944e-10,2.0114235556424727e-8,bisphosphonate,pattern,adjusted_comorb_severity,main
asthma1,8.434643015751226e-9,112616.41479898375,1.1523876866560867,-16.132520903250807,1.5073986513502757e-58,8.813583617253426e-10,8.071994990084552e-8,bisphosphonate,pattern,adjusted_comorb_severity,main
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern,adjusted_comorb_severity,main
rheumatoid_arthritis1,0.6860318897181251,333291.095605441,1.2489505855121934,-0.30171823468308484,0.7628668664591075,0.05932471196115713,7.933283418525036,bisphosphonate,pattern,adjusted_comorb_severity,main
severity1,6.7751465164080736e-9,26069.838254684175,0.6484375070365956,-29.008199927143973,5.1854463362917154e-185,1.9009368290080814e-9,2.4147362299645e-8,bisphosphonate,pattern,adjusted_comorb_severity,main
severity2,5.637454151222885e-9,32206.106462042517,0.6656683830839251,-28.533476649403653,4.5041217097584666e-179,1.5292027413126298e-9,2.0782652586576066e-8,bisphosphonate,pattern,adjusted_comorb_severity,main
severity3,7.45985620167105e-9,74467.10344326946,0.8959057288095911,-20.888056741971347,6.876081462506255e-97,1.2886474450406776e-9,4.3184390551329864e-8,bisphosphonate,pattern,adjusted_comorb_severity,main
cumdaysmany,295945064.6238628,61498.33323676669,0.7646078338322888,25.510704363062278,1.4996466765530025e-143,66126530.006428674,1324483248.5041583,bisphosphonate,cumdays,adjusted_comorb_severity,main
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdays,adjusted_comorb_severity,main
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdays,adjusted_comorb_severity,main
agegroup66-79,239029652.43279162,15990.919079015657,0.5337803300563995,36.14239244993897,4.899086117338642e-286,83964777.07982507,680465985.0144415,bisphosphonate,cumdays,adjusted_comorb_severity,main
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdays,adjusted_comorb_severity,main
sex1,0.3170275123314169,1.1548413390249384,1.1628231708610401,-0.987911789142643,0.32319585121214656,0.03245637969262631,3.0966621825009173,bisphosphonate,cumdays,adjusted_comorb_severity,main
carstairs2,1.9465061427261254,1.224951656931795,1.1957922386669735,0.5569830797581106,0.577538989752672,0.18680804681703242,20.282242806068904,bisphosphonate,cumdays,adjusted_comorb_severity,main
carstairs3,2.2963649902459136e-9,20820.080428172903,0.9935801004281551,-20.02046779587689,3.652755751118017e-89,3.2756991070232887e-10,1.6098219024820904e-8,bisphosphonate,cumdays,adjusted_comorb_severity,main
carstairs4,0.8775953932706554,1.414350760816194,1.4118406227391493,-0.09248184049087613,0.9263152185720143,0.05514846362692297,13.965460207560247,bisphosphonate,cumdays,adjusted_comorb_severity,main
carstairs5,2.7392731392247578e-9,20394.559842917657,0.9581434837078318,-20.576848420550206,4.4253409966385513e-94,4.1885347891790615e-10,1.791465920412933e-8,bisphosphonate,cumdays,adjusted_comorb_severity,main
asthma1,8.108131080501726e-9,103775.85166461708,1.0634277908369674,-17.5191946291093,1.0226278072452215e-68,1.0086242010521746e-9,6.517966706531302e-8,bisphosphonate,cumdays,adjusted_comorb_severity,main
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdays,adjusted_comorb_severity,main
rheumatoid_arthritis1,0.9086762074497882,322151.4944612802,1.274416182178212,-0.07514535441937507,0.940099062202305,0.07475222703297263,11.045723756445726,bisphosphonate,cumdays,adjusted_comorb_severity,main
severity1,5.753422824936813e-9,29846.672203244907,0.5836980850871581,-32.50562468867308,8.879761431037016e-232,1.8326586504449987e-9,1.80622148016851e-8,bisphosphonate,cumdays,adjusted_comorb_severity,main
severity2,5.204157163339825e-9,34049.578508975785,0.625956176984279,-30.471475124916243,6.223325192978234e-204,1.525933261895879e-9,1.7748647635540714e-8,bisphosphonate,cumdays,adjusted_comorb_severity,main
severity3,7.4015783861121945e-9,66464.27206010865,0.8089721913030072,-23.14241795370644,1.7332001755613765e-118,1.516093428225177e-9,3.613455581685071e-8,bisphosphonate,cumdays,adjusted_comorb_severity,main
pattern_rt_gapcontinuous,1.0713685141525109,1.1632131392617102,1.148750615883599,0.06001025418838724,0.9521474677494401,0.11275104663013194,10.180220294386247,bisphosphonate,pattern_rt_gap,adjusted_comorb_severity,main
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_rt_gap,adjusted_comorb_severity,main
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_rt_gap,adjusted_comorb_severity,main
agegroup66-79,231550781.19611996,15916.178267450374,0.5340019709309443,36.067862691736465,7.238623793753823e-285,81302321.91545355,659461661.2338399,bisphosphonate,pattern_rt_gap,adjusted_comorb_severity,main
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_rt_gap,adjusted_comorb_severity,main
sex1,0.32101088342693757,1.155567021490336,1.1164325290071284,-1.01777780756763,0.30878356084845093,0.035992388274801876,2.8630494451152155,bisphosphonate,pattern_rt_gap,adjusted_comorb_severity,main
carstairs2,2.0210123918245007,1.2332127051432586,1.220985709992637,0.5762545492347344,0.5644431390824322,0.18461375498895144,22.12452202249303,bisphosphonate,pattern_rt_gap,adjusted_comorb_severity,main
carstairs3,2.3588675469666784e-9,20857.0972839747,0.9844856868770835,-20.178134076352116,1.523909260315114e-90,3.4253726006592555e-10,1.624423603745089e-8,bisphosphonate,pattern_rt_gap,adjusted_comorb_severity,main
carstairs4,0.9178183529464162,1.41720439028127,1.3435671859916996,-0.0638269387958492,0.9491080279303838,0.06593412932223922,12.776244073661237,bisphosphonate,pattern_rt_gap,adjusted_comorb_severity,main
carstairs5,2.805730433173661e-9,20436.199084940956,0.9510645604019832,-20.70480043916737,3.1353068410541685e-95,4.350090792372926e-10,1.8096457383002585e-8,bisphosphonate,pattern_rt_gap,adjusted_comorb_severity,main
asthma1,8.764355350645279e-9,101969.29553655723,1.3445221753882908,-13.798636578120838,2.5971828842629228e-43,6.284353798927575e-10,1.2223042681889262e-7,bisphosphonate,pattern_rt_gap,adjusted_comorb_severity,main
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_rt_gap,adjusted_comorb_severity,main
rheumatoid_arthritis1,0.9148639356187607,320766.08058819006,1.1177242592823347,-0.07960812183061261,0.9365489354345582,0.1023170225175593,8.180222607164012,bisphosphonate,pattern_rt_gap,adjusted_comorb_severity,main
severity1,5.893213781852764e-9,29720.446839965312,0.5915587998207474,-32.03310365805988,3.7744230911178174e-225,1.848487135723187e-9,1.878832046349724e-8,bisphosphonate,pattern_rt_gap,adjusted_comorb_severity,main
severity2,5.2590155725858524e-9,33935.946074368534,0.7083216415768522,-26.913369382269018,1.5319074521234935e-159,1.3121394182318397e-9,2.107797723962118e-8,bisphosphonate,pattern_rt_gap,adjusted_comorb_severity,main
severity3,7.0365328875614754e-9,68376.85530125472,0.800795726758784,-23.441871189336574,1.600005585845292e-121,1.4646038229481436e-9,3.380627190912864e-8,bisphosphonate,pattern_rt_gap,adjusted_comorb_severity,main
pattern_laggedcontinuous,3.2370290205425053e-9,47155.70622757967,0.5958727302615033,-32.80668656913483,4.727466516303576e-236,1.0067897963366058e-9,1.0407690779109843e-8,bisphosphonate,pattern_lagged,adjusted_comorb_severity,main
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_lagged,adjusted_comorb_severity,main
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_lagged,adjusted_comorb_severity,main
agegroup66-79,236508642.31439325,15908.952829888527,0.5332859730335691,36.15601437649374,2.9929234033049887e-286,83159749.37475657,672637162.9298978,bisphosphonate,pattern_lagged,adjusted_comorb_severity,main
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_lagged,adjusted_comorb_severity,main
sex1,0.3154704755287169,1.154932031946076,1.1602571909609813,-0.9943400396983347,0.32005734877997205,0.03245981265726553,3.0659949267464017,bisphosphonate,pattern_lagged,adjusted_comorb_severity,main
carstairs2,2.0354287284705985,1.2251676093474797,1.192655419222019,0.5959026074353695,0.5512402912480336,0.19654670458363133,21.078807286339366,bisphosphonate,pattern_lagged,adjusted_comorb_severity,main
carstairs3,2.2823403462186786e-9,21013.758265317287,0.9962012430760308,-19.973940597943354,9.283243057688756e-89,3.23901062124984e-10,1.6082310511126287e-8,bisphosphonate,pattern_lagged,adjusted_comorb_severity,main
carstairs4,0.914248927953498,1.4144615973003263,1.4082880630712353,-0.06366055134663541,0.9492405164654437,0.05785321350143178,14.447790393586935,bisphosphonate,pattern_lagged,adjusted_comorb_severity,main
carstairs5,2.7525231700789877e-9,20480.74989315923,0.953848417984443,-20.664444641200763,7.2384962438172e-95,4.2443749047480495e-10,1.7850411360566232e-8,bisphosphonate,pattern_lagged,adjusted_comorb_severity,main
asthma1,8.210682825107924e-9,102675.14233697837,1.0685800274587125,-17.422962500328005,5.524138239321215e-68,1.011119084086625e-9,6.667395909693521e-8,bisphosphonate,pattern_lagged,adjusted_comorb_severity,main
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_lagged,adjusted_comorb_severity,main
rheumatoid_arthritis1,0.908915694519028,324715.67493613675,1.2737463625789005,-0.0749779840124596,0.940232228789647,0.07487015514851743,11.034139546048026,bisphosphonate,pattern_lagged,adjusted_comorb_severity,main
severity1,6.216054468589375e-9,29927.602948301654,0.5750240027009172,-32.861463821545335,7.812686466100346e-237,2.013972299299779e-9,1.9185632875836533e-8,bisphosphonate,pattern_lagged,adjusted_comorb_severity,main
severity2,5.359766711506761e-9,33221.77631628689,0.6267495669571385,-30.385893171404298,8.437381412143882e-203,1.5691183036864135e-9,1.8307796890958374e-8,bisphosphonate,pattern_lagged,adjusted_comorb_severity,main
severity3,6.859343042703698e-9,68752.97621124286,0.8085204081524722,-23.24944921194783,1.4408992661019696e-119,1.4062699732049735e-9,3.3457719978374075e-8,bisphosphonate,pattern_lagged,adjusted_comorb_severity,main
pattern_ittcontinuous,2.1112175879166553,1.006669076653586,1.1335587897489472,0.6592201866348919,0.5097543858584357,0.2289001114049227,19.472422604652184,bisphosphonate,pattern_itt,adjusted_comorb_severity,main
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_itt,adjusted_comorb_severity,main
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_itt,adjusted_comorb_severity,main
agegroup66-79,220915823.45264864,16252.410485177577,0.5947818669411667,32.303090200749544,6.3297310613751446e-229,68856918.1593676,708771207.8371943,bisphosphonate,pattern_itt,adjusted_comorb_severity,main
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_itt,adjusted_comorb_severity,main
sex1,0.30071753484135644,1.158210340454583,1.233505457199334,-0.9741212495398518,0.32999633982721144,0.02680383919646912,3.373809068850663,bisphosphonate,pattern_itt,adjusted_comorb_severity,main
carstairs2,2.138591691863484,1.2283433607734617,1.2773337493444226,0.595104861884952,0.5517733789574982,0.17492803460461517,26.14546281758118,bisphosphonate,pattern_itt,adjusted_comorb_severity,main
carstairs3,2.438080015896402e-9,20520.90081885822,1.001029037099234,-19.81166804470814,2.361303016970155e-87,3.427444993073021e-10,1.7343047593548237e-8,bisphosphonate,pattern_itt,adjusted_comorb_severity,main
carstairs4,0.9213112579266591,1.4144895337345311,1.4171177904692365,-0.057833825729340774,0.9538809942251782,0.05729985564766195,14.813552746132224,bisphosphonate,pattern_itt,adjusted_comorb_severity,main
carstairs5,3.1520888987071834e-9,20365.290745093607,1.060082296231198,-18.46573660463687,3.896711930180602e-76,3.9468877116344655e-10,2.5173415489032384e-8,bisphosphonate,pattern_itt,adjusted_comorb_severity,main
