readcode,medcode,readterm,icdcode
B030.00,32024,malignant neoplasm of upper gum,C03
B031.00,49360,malignant neoplasm of lower gum,C03
B03y.00,101753,malignant neoplasm of other sites of gum,C03
B03z.00,93218,malignant neoplasm of gum nos,C03
B04..00,20092,malignant neoplasm of floor of mouth,C04
B040.00,45408,malignant neoplasm of anterior portion of floor of mouth,C04
B041.00,45986,malignant neoplasm of lateral portion of floor of mouth,C04
B042.00,17912,"malignant neoplasm, overlapping lesion of floor of mouth",C04
B04y.00,56709,malignant neoplasm of other sites of floor of mouth,C04
B04z.00,36716,malignant neoplasm of floor of mouth nos,C04
B05..00,14792,malignant neoplasm of other and unspecified parts of mouth,C06
B050.00,31364,malignant neoplasm of cheek mucosa,C06
B050.11,30402,malignant neoplasm of buccal mucosa,C06
B051.00,103796,malignant neoplasm of vestibule of mouth,C06
B051000,95772,malignant neoplasm of upper buccal sulcus,C06
B051100,97530,malignant neoplasm of lower buccal sulcus,C06
B052.00,37590,malignant neoplasm of hard palate,C05
B053.00,40292,malignant neoplasm of soft palate,C05
B054.00,37516,malignant neoplasm of uvula,C05
B055.00,70819,malignant neoplasm of palate unspecified,C05
B055000,96003,malignant neoplasm of junction of hard and soft palate,C05
B055100,69951,malignant neoplasm of roof of mouth,C05
B055z00,28559,malignant neoplasm of palate nos,C05
B056.00,37724,malignant neoplasm of retromolar area,C06
B05y.00,37916,malignant neoplasm of other specified mouth parts,C04
B05z.00,55015,malignant neoplasm of mouth nos,C06
B05z000,37549,kaposi's sarcoma of palate,C46
B06..00,22893,malignant neoplasm of oropharynx,C10
B060.00,16241,malignant neoplasm of tonsil,C09
B060000,26448,malignant neoplasm of faucial tonsil,C09
B060100,101988,malignant neoplasm of palatine tonsil,C09
B060200,102151,malignant neoplasm of overlapping lesion of tonsil,C09
B060z00,53884,malignant neoplasm tonsil nos,C09
B061.00,24397,malignant neoplasm of tonsillar fossa,C09
B062.00,55066,malignant neoplasm of tonsillar pillar,C09
B062000,51926,malignant neoplasm of faucial pillar,C09
B062100,99185,malignant neoplasm of glossopalatine fold,C05
B062200,61510,malignant neoplasm of palatoglossal arch,C05
B062300,93842,malignant neoplasm of palatopharyngeal arch,C05
B062z00,100002,malignant neoplasm of tonsillar fossa nos,C09
B063.00,39554,malignant neoplasm of vallecula,C10
B064.00,46728,malignant neoplasm of anterior epiglottis,C32
B064000,26134,"malignant neoplasm of epiglottis, free border",C10
B064100,91895,malignant neoplasm of glossoepiglottic fold,C13
B064z00,73439,malignant neoplasm of anterior epiglottis nos,C10
B065.00,48519,malignant neoplasm of junctional region of epiglottis,C10
B066.00,56355,malignant neoplasm of lateral wall of oropharynx,C10
B067.00,90124,malignant neoplasm of posterior wall of oropharynx,C10
B06y.00,67323,"malignant neoplasm of oropharynx, other specified sites",C10
B06yz00,91037,malignant neoplasm of other specified site of oropharynx nos,C10
B06z.00,43200,malignant neoplasm of oropharynx nos,C10
B07..00,24675,malignant neoplasm of nasopharynx,C11
B070.00,94390,malignant neoplasm of roof of nasopharynx,C11
B071.00,95429,malignant neoplasm of posterior wall of nasopharynx,C11
B071000,33388,malignant neoplasm of adenoid,C11
B071100,46548,malignant neoplasm of pharyngeal tonsil,C09
B071z00,96869,malignant neoplasm of posterior wall of nasopharynx nos,C11
B072.00,59004,malignant neoplasm of lateral wall of nasopharynx,C11
B072000,37940,malignant neoplasm of pharyngeal recess,C14
B072z00,102205,malignant neoplasm of lateral wall of nasopharynx nos,C11
B073.00,44139,malignant neoplasm of anterior wall of nasopharynx,C11
B073100,106915,malignant neoplasm of nasopharyngeal soft palate surface,C11
B073200,99386,malignant neoplasm posterior margin nasal septum and choanae,C30
B073z00,100918,malignant neoplasm of anterior wall of nasopharynx nos,C11
B074.00,66422,"malignant neoplasm, overlapping lesion of nasopharynx",C11
B07y.00,55630,malignant neoplasm of other specified site of nasopharynx,C11
B07z.00,28665,malignant neoplasm of nasopharynx nos,C11
B08..00,34012,malignant neoplasm of hypopharynx,C13
B080.00,43548,malignant neoplasm of postcricoid region,C13
B081.00,39897,malignant neoplasm of pyriform sinus,C12
B082.00,57248,"malignant neoplasm aryepiglottic fold, hypopharyngeal aspect",C13
B083.00,64462,malignant neoplasm of posterior pharynx,C14
B08y.00,88362,malignant neoplasm of other specified hypopharyngeal site,C13
B08z.00,28451,malignant neoplasm of hypopharynx nos,C13
B0z..00,46114,"malig neop other/ill-defined sites lip, oral cavity, pharynx",C14
B0z0.00,16297,malignant neoplasm of pharynx unspecified,C14
B0z1.00,95016,malignant neoplasm of waldeyer's ring,C14
B0z2.00,39084,malignant neoplasm of laryngopharynx,C13
B0zy.00,49758,"malignant neoplasm of other sites lip, oral cavity, pharynx",C14
B0zz.00,39430,"malignant neoplasm of lip, oral cavity and pharynx nos",C14
B1...00,15709,malignant neoplasm of digestive organs and peritoneum,C26
B1...11,3357,carcinoma of digestive organs and peritoneum,C26
B10..00,1062,malignant neoplasm of oesophagus,C15
B100.00,61695,malignant neoplasm of cervical oesophagus,C15
B101.00,41362,malignant neoplasm of thoracic oesophagus,C15
B102.00,63470,malignant neoplasm of abdominal oesophagus,C15
B103.00,50789,malignant neoplasm of upper third of oesophagus,C15
B104.00,54171,malignant neoplasm of middle third of oesophagus,C15
B105.00,42416,malignant neoplasm of lower third of oesophagus,C15
B106.00,67497,"malignant neoplasm, overlapping lesion of oesophagus",C15
B107.00,98142,siewert type i adenocarcinoma,C15
B10y.00,53591,malignant neoplasm of other specified part of oesophagus,C15
B10z.00,30700,malignant neoplasm of oesophagus nos,C15
B10z.11,4865,oesophageal cancer,C15
B11..00,8386,malignant neoplasm of stomach,C16
B110.00,32022,malignant neoplasm of cardia of stomach,C16
B110000,100584,malignant neoplasm of cardiac orifice of stomach,C16
B110100,22894,malignant neoplasm of cardio-oesophageal junction of stomach,C16
B110111,94278,malignant neoplasm of gastro-oesophageal junction,C16
B110z00,37859,malignant neoplasm of cardia of stomach nos,C16
B111.00,21620,malignant neoplasm of pylorus of stomach,C16
B111000,48237,malignant neoplasm of prepylorus of stomach,C16
B111100,41215,malignant neoplasm of pyloric canal of stomach,C16
B111z00,59092,malignant neoplasm of pylorus of stomach nos,C16
B112.00,19318,malignant neoplasm of pyloric antrum of stomach,C16
B113.00,32362,malignant neoplasm of fundus of stomach,C16
B114.00,43572,malignant neoplasm of body of stomach,C16
B115.00,42193,malignant neoplasm of lesser curve of stomach unspecified,C16
B116.00,55434,malignant neoplasm of greater curve of stomach unspecified,C16
B117.00,51690,"malignant neoplasm, overlapping lesion of stomach",C16
B118.00,97499,siewert type ii adenocarcinoma,C16
B119.00,96094,siewert type iii adenocarcinoma,C16
B11y.00,55019,malignant neoplasm of other specified site of stomach,C16
B11y000,65312,malignant neoplasm of anterior wall of stomach nec,C16
B11y100,96802,malignant neoplasm of posterior wall of stomach nec,C16
B11yz00,65372,malignant neoplasm of other specified site of stomach nos,C16
B11z.00,14800,malignant neoplasm of stomach nos,C16
B12..00,6806,malignant neoplasm of small intestine and duodenum,C17
B120.00,18613,malignant neoplasm of duodenum,C17
B121.00,43479,malignant neoplasm of jejunum,C17
B122.00,33871,malignant neoplasm of ileum,C17
B123.00,63995,malignant neoplasm of meckel's diverticulum,C17
B124.00,66166,"malignant neoplasm, overlapping lesion of small intestine",C17
B12y.00,99896,malignant neoplasm of other specified site small intestine,C17
B12z.00,43390,malignant neoplasm of small intestine nos,C17
B13..00,1220,malignant neoplasm of colon,C18
B130.00,9088,malignant neoplasm of hepatic flexure of colon,C18
B131.00,6935,malignant neoplasm of transverse colon,C18
B132.00,10864,malignant neoplasm of descending colon,C18
B133.00,2815,malignant neoplasm of sigmoid colon,C18
B134.00,3811,malignant neoplasm of caecum,C18
B134.11,22163,carcinoma of caecum,C18
B135.00,18632,malignant neoplasm of appendix,C18
B136.00,10946,malignant neoplasm of ascending colon,C18
B137.00,18619,malignant neoplasm of splenic flexure of colon,C18
B138.00,93478,"malignant neoplasm, overlapping lesion of colon",C18
B139.00,101700,hereditary nonpolyposis colon cancer,C18
B13y.00,48231,malignant neoplasm of other specified sites of colon,C18
B13z.00,28163,malignant neoplasm of colon nos,C18
B13z.11,9118,colonic cancer,C18
B14..00,35357,"malignant neoplasm of rectum, rectosigmoid junction and anus",C21
B140.00,27855,malignant neoplasm of rectosigmoid junction,C19
B141.00,1800,malignant neoplasm of rectum,C20
B141.11,7219,carcinoma of rectum,C20
B141.12,5901,rectal carcinoma,C20
B142.00,24370,malignant neoplasm of anal canal,C21
B142.11,9491,anal carcinoma,C21
B142000,46159,malignant neoplasm of cloacogenic zone,C21
B143.00,27897,malignant neoplasm of anus unspecified,C21
B14y.00,55659,"malig neop other site rectum, rectosigmoid junction and anus",C21
B14z.00,50974,"malignant neoplasm rectum,rectosigmoid junction and anus nos",C21
B15..00,8918,malignant neoplasm of liver and intrahepatic bile ducts,C22
B150.00,25535,primary malignant neoplasm of liver,C22
B150000,16126,primary carcinoma of liver,C22
B150100,31210,hepatoblastoma of liver,C22
B150200,68410,primary angiosarcoma of liver,C22
B150300,22187,hepatocellular carcinoma,C22
B150z00,44399,primary malignant neoplasm of liver nos,C22
B151.00,16915,malignant neoplasm of intrahepatic bile ducts,C22
B151000,65124,malignant neoplasm of interlobular bile ducts,C22
B151100,110775,malignant neoplasm of interlobular biliary canals,C24
B151200,89593,malignant neoplasm of intrahepatic biliary passages,C22
B151400,58088,malignant neoplasm of intrahepatic gall duct,C22
B151z00,61643,malignant neoplasm of intrahepatic bile ducts nos,C22
B152.00,26393,malignant neoplasm of liver unspecified,C22
B153.00,36147,secondary malignant neoplasm of liver,C78
B15z.00,38978,malignant neoplasm of liver and intrahepatic bile ducts nos,C22
B16..00,54103,malignant neoplasm gallbladder and extrahepatic bile ducts,C24
B160.00,16105,malignant neoplasm of gallbladder,C23
B160.11,31393,carcinoma gallbladder,C23
B161.00,23433,malignant neoplasm of extrahepatic bile ducts,C24
B161000,72445,malignant neoplasm of cystic duct,C24
B161100,52537,malignant neoplasm of hepatic duct,C25
B161200,7982,malignant neoplasm of common bile duct,C24
B161211,36495,carcinoma common bile duct,C24
B161300,105613,malignant neoplasm of sphincter of oddi,C24
B161z00,74896,malignant neoplasm of extrahepatic bile ducts nos,C24
B162.00,10949,malignant neoplasm of ampulla of vater,C24
B163.00,35039,"malignant neoplasm, overlapping lesion of biliary tract",C24
B16y.00,60312,malignant neoplasm other gallbladder/extrahepatic bile duct,C24
B16z.00,15907,malignant neoplasm gallbladder/extrahepatic bile ducts nos,C24
B17..00,8166,malignant neoplasm of pancreas,C25
B170.00,8771,malignant neoplasm of head of pancreas,C25
B171.00,40810,malignant neoplasm of body of pancreas,C25
B172.00,39870,malignant neoplasm of tail of pancreas,C25
B173.00,35535,malignant neoplasm of pancreatic duct,C25
B174.00,35795,malignant neoplasm of islets of langerhans,C25
B175.00,97875,"malignant neoplasm, overlapping lesion of pancreas",C25
B17y.00,48537,malignant neoplasm of other specified sites of pancreas,C25
B17y000,96635,malignant neoplasm of ectopic pancreatic tissue,C25
B17yz00,95783,malignant neoplasm of specified site of pancreas nos,C25
B17z.00,34388,malignant neoplasm of pancreas nos,C25
B18..00,44108,malignant neoplasm of retroperitoneum and peritoneum,C48
B180.00,21330,malignant neoplasm of retroperitoneum,C48
B180100,65159,malignant neoplasm of perinephric tissue,C48
B180200,24048,malignant neoplasm of retrocaecal tissue,C48
B180z00,61555,malignant neoplasm of retroperitoneum nos,C48
B181.00,17874,mesothelioma of peritoneum,C45
B182.00,101907,overlapping malign lesion of retroperitoneum and peritoneum,C48
B18y.00,46613,malignant neoplasm of specified parts of peritoneum,C48
B18y100,59388,malignant neoplasm of mesocaecum,C48
B18y200,30165,malignant neoplasm of mesorectum,C48
B18y300,50898,malignant neoplasm of omentum,C48
B18y400,64516,malignant neoplasm of parietal peritoneum,C48
B18y500,39413,malignant neoplasm of pelvic peritoneum,C48
B18y600,69821,malignant neoplasm of the pouch of douglas,C48
B18y700,90290,malignant neoplasm of mesentery,C48
B18yz00,64106,malignant neoplasm of specified parts of peritoneum nos,C48
B18z.00,16298,malignant neoplasm of retroperitoneum and peritoneum nos,C48
B1z..00,11009,malig neop oth/ill-defined sites digestive tract/peritoneum,C26
B1z0.00,17559,"malignant neoplasm of intestinal tract, part unspecified",C26
B1z0.11,11628,cancer of bowel,C26
B1z1.00,65460,malignant neoplasm of spleen nec,C26
B1z1000,108667,angiosarcoma of spleen,C26
B1z1100,72224,fibrosarcoma of spleen,C26
B1z1z00,93778,malignant neoplasm of spleen nos,C26
B1z2.00,94776,"malignant neoplasm, overlapping lesion of digestive system",C26
B1zy.00,56918,malignant neoplasm other spec digestive tract and peritoneum,C26
B1zz.00,51255,malignant neoplasm of digestive tract and peritoneum nos,C26
B2...00,34075,malig neop of respiratory tract and intrathoracic organs,C39
B2...11,45307,carcinoma of respiratory tract and intrathoracic organs,C39
B20..00,26652,"malig neop nasal cavities, middle ear and accessory sinuses",C30 C31
B200.00,23389,malignant neoplasm of nasal cavities,C30
B200000,71204,malignant neoplasm of cartilage of nose,C30
B200100,98911,malignant neoplasm of nasal conchae,C30
B200200,62761,malignant neoplasm of septum of nose,C30
B200300,62182,malignant neoplasm of vestibule of nose,C06
B200z00,42856,malignant neoplasm of nasal cavities nos,C30
B201.00,24456,"malig neop auditory tube, middle ear and mastoid air cells",C30
B201000,107916,malignant neoplasm of auditory (eustachian) tube,C30
B201100,98537,malignant neoplasm of tympanic cavity,C14
B201200,54613,malignant neoplasm of tympanic antrum,C30
B201300,71946,malignant neoplasm of mastoid air cells,C30
B201z00,73537,"malig neop auditory tube, middle ear, mastoid air cells nos",C30
B202.00,32174,malignant neoplasm of maxillary sinus,C31
B203.00,54636,malignant neoplasm of ethmoid sinus,C31
B204.00,15684,malignant neoplasm of frontal sinus,C31
B205.00,65215,malignant neoplasm of sphenoidal sinus,C31
B206.00,39590,"malignant neoplasm, overlapping lesion of accessory sinuses",C31
B20y.00,96971,"malig neop other site nasal cavity, middle ear and sinuses",C30 C31
B20z.00,55246,malignant neoplasm of accessory sinus nos,C31
B21..00,319,malignant neoplasm of larynx,C32
B210.00,318,malignant neoplasm of glottis,C32
B211.00,26165,malignant neoplasm of supraglottis,C32
B212.00,22441,malignant neoplasm of subglottis,C32
B213.00,43111,malignant neoplasm of laryngeal cartilage,C32
B213000,63460,malignant neoplasm of arytenoid cartilage,C41
B213100,37805,malignant neoplasm of cricoid cartilage,C32
B213200,107878,malignant neoplasm of cuneiform cartilage,C32
B213300,47862,malignant neoplasm of thyroid cartilage,C32
B213z00,97332,malignant neoplasm of laryngeal cartilage nos,C32
B214.00,50579,"malignant neoplasm, overlapping lesion of larynx",C32
B215.00,55374,malignant neoplasm of epiglottis nos,C10
B21y.00,26813,"malignant neoplasm of larynx, other specified site",C32
B21z.00,9237,malignant neoplasm of larynx nos,C32
B22..00,13243,"malignant neoplasm of trachea, bronchus and lung",C34
B220.00,15221,malignant neoplasm of trachea,C33
B220100,103946,malignant neoplasm of mucosa of trachea,C33
B220z00,37810,malignant neoplasm of trachea nos,C33
B221.00,12870,malignant neoplasm of main bronchus,C34
B221000,17391,malignant neoplasm of carina of bronchus,C34
B221100,33444,malignant neoplasm of hilus of lung,C34
B221z00,21698,malignant neoplasm of main bronchus nos,C34
B222.00,10358,"malignant neoplasm of upper lobe, bronchus or lung",C34
B222.11,20170,pancoast's syndrome,C34
B222000,31700,malignant neoplasm of upper lobe bronchus,C34
B222100,25886,malignant neoplasm of upper lobe of lung,C34
B222z00,44169,"malignant neoplasm of upper lobe, bronchus or lung nos",C34
B223.00,31268,"malignant neoplasm of middle lobe, bronchus or lung",C34
B223000,41523,malignant neoplasm of middle lobe bronchus,C34
B223100,39923,malignant neoplasm of middle lobe of lung,C34
B223z00,54134,"malignant neoplasm of middle lobe, bronchus or lung nos",C34
B224.00,31188,"malignant neoplasm of lower lobe, bronchus or lung",C34
B224000,18678,malignant neoplasm of lower lobe bronchus,C34
B224100,12582,malignant neoplasm of lower lobe of lung,C34
B224z00,42566,"malignant neoplasm of lower lobe, bronchus or lung nos",C34
B225.00,36371,malignant neoplasm of overlapping lesion of bronchus & lung,C34
B226.00,7484,mesothelioma,C45
B22y.00,38961,malignant neoplasm of other sites of bronchus or lung,C34
B22z.00,3903,malignant neoplasm of bronchus or lung nos,C34
B22z.11,2587,lung cancer,C34
B23..00,31573,malignant neoplasm of pleura,C38
B230.00,67107,malignant neoplasm of parietal pleura,C38
B231.00,106194,malignant neoplasm of visceral pleura,C38
B232.00,9600,mesothelioma of pleura,C45
B23y.00,98104,malignant neoplasm of other specified pleura,C38
B23z.00,34742,malignant neoplasm of pleura nos,C38
B24..00,62556,"malignant neoplasm of thymus, heart and mediastinum",C39
B240.00,27483,malignant neoplasm of thymus,C37
B241.00,95644,malignant neoplasm of heart,C38
B241000,63430,malignant neoplasm of endocardium,C38
B241200,65605,malignant neoplasm of myocardium,C38
B241300,94975,malignant neoplasm of pericardium,C45
B241400,101885,mesothelioma of pericardium,C45
B241z00,50289,malignant neoplasm of heart nos,C38
B242.00,27715,malignant neoplasm of anterior mediastinum,C38
B243.00,92720,malignant neoplasm of posterior mediastinum,C38
B24X.00,61064,"malignant neoplasm of mediastinum, part unspecified",C38
B24y.00,100232,"malig neop of other site of heart, thymus and mediastinum",C39
B24z.00,66750,"malignant neoplasm of heart, thymus and mediastinum nos",C39
B25..00,39531,"malig neo, overlapping lesion of heart, mediastinum & pleura",C38
B26..00,66646,"malignant neoplasm, overlap lesion of resp & intrathor orgs",C39
B2z..00,44356,malig neop other/ill-defined sites resp/intrathoracic organs,C39
B2z0.00,65793,"malig neop of upper respiratory tract, part unspecified",C39
B2zy.00,29283,malignant neoplasm of other site of respiratory tract,C39
B2zz.00,42569,malignant neoplasm of respiratory tract nos,C39
B3...00,18608,"malig neop of bone, connective tissue, skin and breast",C76
B3...11,9902,"carcinoma of bone, connective tissue, skin and breast",C76
B3...12,12539,sarcoma of bone and connective tissue,C76
B30..00,18314,malignant neoplasm of bone and articular cartilage,C41
B300.00,59036,malignant neoplasm of bones of skull and face,C41
B300000,53594,malignant neoplasm of ethmoid bone,C41
B300100,53599,malignant neoplasm of frontal bone,C41
B300200,59520,malignant neoplasm of malar bone,C41
B300300,95458,malignant neoplasm of nasal bone,C30
B300400,55953,malignant neoplasm of occipital bone,C41
B300500,50298,malignant neoplasm of orbital bone,C41
B300600,54747,malignant neoplasm of parietal bone,C41
B300700,55595,malignant neoplasm of sphenoid bone,C41
B300800,62104,malignant neoplasm of temporal bone,C41
B300900,50299,malignant neoplasm of zygomatic bone,C41
B300A00,17475,malignant neoplasm of maxilla,C31
B300B00,96445,malignant neoplasm of turbinate,C41
B300C00,44452,malignant neoplasm of vomer,C41
B300z00,69146,malignant neoplasm of bones of skull and face nos,C41
B301.00,33833,malignant neoplasm of mandible,C41
B302.00,16704,malignant neoplasm of vertebral column,C41
B302000,46939,malignant neoplasm of cervical vertebra,C41
B302100,32372,malignant neoplasm of thoracic vertebra,C41
B302200,54691,malignant neoplasm of lumbar vertebra,C41
B302z00,49701,malignant neoplasm of vertebral column nos,C41
B303.00,27528,"malignant neoplasm of ribs, sternum and clavicle",C41
B303000,37842,malignant neoplasm of rib,C41
B303100,49491,malignant neoplasm of sternum,C41
B303200,66639,malignant neoplasm of clavicle,C41
B303300,60403,malignant neoplasm of costal cartilage,C41
B303400,67763,malignant neoplasm of costo-vertebral joint,C41
B303500,54493,malignant neoplasm of xiphoid process,C41
B303z00,51237,"malignant neoplasm of rib, sternum and clavicle nos",C41
B304.00,71810,malignant neoplasm of scapula and long bones of upper arm,C40
B304000,49054,malignant neoplasm of scapula,C40
B304100,105797,malignant neoplasm of acromion,C40
B304200,61741,malignant neoplasm of humerus,C40
B304300,92371,malignant neoplasm of radius,C40
B304400,64848,malignant neoplasm of ulna,C40
B304z00,65880,malig neop of scapula and long bones of upper arm nos,C40
B305.00,73530,malignant neoplasm of hand bones,C40
B305.11,106069,malignant neoplasm of carpal bones,C40
B305.12,72464,malignant neoplasm of metacarpal bones,C40
B305000,57988,malignant neoplasm of carpal bone - scaphoid,C40
B305100,69104,malignant neoplasm of carpal bone - lunate,C40
B305800,110993,malignant neoplasm of first metacarpal bone,C40
B305A00,108638,malignant neoplasm of third metacarpal bone,C40
B305C00,94427,malignant neoplasm of fifth metacarpal bone,C40
B305D00,86812,malignant neoplasm of phalanges of hand,C40
B305z00,73556,malignant neoplasm of hand bones nos,C40
B306.00,54631,"malignant neoplasm of pelvic bones, sacrum and coccyx",C41
B306000,44609,malignant neoplasm of ilium,C41
B306100,59223,malignant neoplasm of ischium,C41
B306200,51921,malignant neoplasm of pubis,C41
B306300,40966,malignant neoplasm of sacral vertebra,C41
B306400,66908,malignant neoplasm of coccygeal vertebra,C41
B306500,50152,malignant sacral teratoma,C41
B306z00,38938,"malignant neoplasm of pelvis, sacrum or coccyx nos",C41
B307.00,68055,malignant neoplasm of long bones of leg,C40
B307000,56513,malignant neoplasm of femur,C40
B307100,50402,malignant neoplasm of fibula,C40
B307200,40814,malignant neoplasm of tibia,C40
B307z00,62630,malignant neoplasm of long bones of leg nos,C40
B308.00,105475,malignant neoplasm of short bones of leg,C40
B308000,111779,malignant neoplasm of patella,C40
B308100,95182,malignant neoplasm of talus,C40
B308200,72212,malignant neoplasm of calcaneum,C40
B308300,34878,malignant neoplasm of medial cuneiform,C38
B308800,69927,malignant neoplasm of first metatarsal bone,C40
B308900,111426,malignant neoplasm of second metatarsal bone,C41
B308B00,92382,malignant neoplasm of fourth metatarsal bone,C40
B308D00,58949,malignant neoplasm of phalanges of foot,C40
B308z00,103354,malignant neoplasm of short bones of leg nos,C40
B30W.00,67451,malignant neoplasm/overlap lesion/bone+articulr cartilage,C41
