prodcode,dmdcode,productname
45617,1.87642E+16,Colecalciferol 800unit / Calcium carbonate 1.25g chewable tablets
45701,1.87401E+16,Kalcipos-D 500mg/800unit chewable tablets (Mylan)
46419,1.93684E+16,Adcal-D3 750mg/200unit caplets (Kyowa Kirin Ltd)
46450,1.93725E+16,Colecalciferol 200unit / Calcium carbonate 750mg tablets
46748,1.95257E+16,Colecalciferol 400unit / Calcium carbonate 1.5g tablets
46867,1.95104E+16,Accrete D3 tablets (Internis Pharmaceuticals Ltd)
47665,3.05275E+17,Calcium carbonate 400mg with Colecalciferol 100 units chewable tablets
47818,6.2015E+16,Calcium with ergocalciferol Tablet (IVAX Pharmaceuticals UK Ltd)
49466,7.52581E+15,Colecalciferol 400unit / Calcium carbonate 1.25g chewable tablets sugar free
49503,1.76178E+16,Calcichew D3 Forte chewable tablets (Necessity Supplies Ltd)
50231,1.46961E+16,Calcium carbonate 400mg / Ergocalciferol 2.5microgram tablets
51131,1.96226E+16,Solgar Calcium with Vitamin D3 tablets (Solgar Vitamin and Herb)
51605,1.63981E+16,Calcichew D3 chewable tablets (Mawdsley-Brooks & Company Ltd)
51645,1.38015E+16,Colecalciferol 100unit / Calcium carbonate 400mg tablets
51894,1.81577E+16,Calcichew D3 Forte chewable tablets (Mawdsley-Brooks & Company Ltd)
52096,1.99466E+16,Colecalciferol 100unit / Calcium carbonate 400mg chewable tablets
52997,1.46864E+16,Vega Calcium plus Vitamin D tablets (Vega Nutritionals Ltd)
53347,1.61437E+16,Calcichew D3 chewable tablets (Lexon (UK) Ltd)
53349,1.85483E+16,Calcichew D3 chewable tablets (DE Pharmaceuticals)
55254,2.20536E+16,Colecalciferol 800unit / Calcium carbonate 1.25g tablets
55528,2.20135E+16,Kalcipos-D 500mg/800unit tablets (Meda Pharmaceuticals Ltd)
55615,1.96262E+16,Colecalciferol 150unit / Calcium 250mg tablets
56183,1.78159E+16,Calcium and Ergocalciferol tablets (Phoenix Healthcare Distribution Ltd)
57461,1.04967E+16,Calcichew D3 chewable tablets (Waymade Healthcare Plc)
57508,1.61439E+16,Calcichew D3 Forte chewable tablets (Lexon (UK) Ltd)
57535,1.0846E+16,Calcichew D3 Forte chewable tablets (Waymade Healthcare Plc)
59454,2.28528E+16,Evacal D3 1500mg/400unit chewable tablets (Teva UK Ltd)
62385,1.99164E+16,Seven Seas Calcium and Vitamin D chewable tablets (Seven Seas Ltd)
62495,2.80127E+16,Colecalciferol 800unit / Calcium carbonate 2.5g chewable tablets
62496,2.8002E+16,Calcichew D3 1000mg/800unit Once Daily chewable tablets (Takeda UK Ltd)
62793,2.66552E+16,Colecalciferol 880unit / Calcium carbonate 2.5g chewable tablets
63343,4.93331E+15,Generic Crampex tablets
64083,2.26247E+16,Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets (DE Pharmaceuticals)
66627,5.28811E+14,Calceos chewable tablets (Provalis Healthcare Ltd)
66710,3.24197E+16,"Colecalciferol 1,000unit / Calcium carbonate 2.5g chewable tablets"
66917,3.24007E+16,"Calci-D 1000mg/1,000unit chewable tablets (Consilient Health Ltd)"
67010,2.44482E+16,Valupak Calcium & Vitamin D tablets (BR Pharmaceuticals Ltd)
67246,1.37999E+16,Lloydspharmacy Calcium & Vitamin D tablets (Lloyds Pharmacy Ltd)
67357,9.15561E+15,Colecalciferol 400unit / Calcium carbonate 1.25g chewable tablets (Kent Pharmaceuticals Ltd)
67358,1.6442E+16,Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets (A A H Pharmaceuticals Ltd)
69502,3.36576E+16,Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets (Alliance Healthcare (Distribution) Ltd)
69813,3.4216E+16,Haliborange Kids Vitamin D Calcium softies chewable tablets (Seven Seas Ltd)
70307,1.59773E+16,Colecalciferol 400unit / Calcium carbonate 1.25g chewable tablets (Zanza Specials International Ltd)
70474,3.46082E+16,Accrete D3 One a Day 1000mg/880unit chewable tablets (Internis Pharmaceuticals Ltd)
70817,3.42355E+16,Colecalciferol 200unit / Calcium phosphate 250mg chewable tablets
71508,3.47826E+16,Colecalciferol 400unit / Calcium carbonate 1.25g chewable tablets (A A H Pharmaceuticals Ltd)
73997,5.52901E+15,Calcichew D3 Forte chewable tablets (Dowelhurst Ltd)
74836,1.43049E+16,Calcichew D3 Forte chewable tablets (Sigma Pharmaceuticals Plc)
76446,1.52145E+16,Generic Sandocal+D 600 effervescent tablets
79405,1.00255E+17,Calciferol with calcium tablets
80030,3.49673E+16,SunVit-D3 400unit with Calcium 500mg chewable tablets (SunVit-D3 Ltd)
1142,329145004,Calcium lactate 300mg tablets
1166,1.17695E+17,CALCIUM GLUCONATE 100 MG TAB
1563,2.84511E+14,Calcichew 500mg chewable tablets (Takeda UK Ltd)
2113,1.58425E+17,Calcichew Chewable tablet (Shire Pharmaceuticals Ltd)
2701,1.90211E+14,Titralac 420mg tablets (3M Health Care Ltd)
2864,2.7785E+16,Sandocal 400 Effervescent tablet (Novartis Consumer Health UK Ltd)
3261,9.1955E+16,CALCIUM LACTATE 200 MG TAB
3321,2.17255E+17,Remegel 800mg Chewable tablet (SSL International Plc)
3330,329161002,Calcium carbonate 1.25g effervescent tablets sugar free
3482,329141008,Calcium gluconate 600mg tablets
3515,9.1995E+16,CALCIUM LACTATE 600 MG TAB
3568,3.24151E+15,Calcium 500 tablets (Martindale Pharmaceuticals Ltd)
3833,1.24245E+17,CALCIUM GLUBIONATE/CALCIUM LACTOBIONATE ELI
4023,329142001,Calcium gluconate 1g effervescent tablets
4212,1.04145E+17,CALCIUM 500 MG CAP
4240,1.77475E+17,Nulacin Tablet (Goldshield Pharmaceuticals Ltd)
4479,2.7795E+16,Sandocal 1000 Effervescent tablet (Novartis Consumer Health UK Ltd)
4890,329153007,Calcium carbonate 1.25g chewable tablets sugar free
5043,6.85111E+14,Cacit 500mg effervescent tablets (Accord Healthcare Ltd)
5088,329162009,Calcium carbonate 1.25g tablets
5630,3.24831E+15,Calcidrink 2.5g granules sachets (Shire Pharmaceuticals Ltd)
5995,3.24251E+15,Adcal 1500mg chewable tablets (Kyowa Kirin Ltd)
6358,1.79611E+14,Calcium-Sandoz syrup (Alliance Pharmaceuticals Ltd)
6916,329159006,Calcium carbonate 1.5g chewable tablets sugar free
8028,1.71045E+17,CALCIUM LACTATE GLUCONATE 3.08 GM TAB
8999,1.04115E+17,CALCIUM LACTATE 250 MG TAB
9141,9.1895E+16,CALCIUM GLUCONATE 300 MG TAB
9406,4.55961E+15,Calcium carbonate 500mg chewable tablets
9541,329160001,Calcium carbonate 2.5g chewable tablets sugar free
10614,329188007,Calcium carbonate 420mg tablets
12314,9.1855E+16,CALCIUM GLUCONATE 500 MG TAB
12728,3.48199E+16,Calcium lactate gluconate 930.8mg / Calcium carbonate 700mg effervescent tablets sugar free
12885,3.48202E+16,Calcium lactate gluconate 2.263g / Calcium carbonate 1.75g effervescent tablets sugar free
13189,2.36725E+17,Calcium carbonate 120mg/ml suspension
15256,1.9515E+16,Rap-eze Tablet (Bayer Plc)
15995,4.59821E+15,Calcium carbonate 800mg chewable tablets
18750,2.28115E+17,Calcette 1.25g Tablet (Ashbourne Pharmaceuticals Ltd)
19837,329163004,Calcium carbonate 2.5g granules sachets
20035,9.1935E+16,CALCIUM LACTATE 1 GM TAB
21101,9.2025E+16,CALCIUM LACTATE SYR
23429,2.23225E+17,Calcia chewable Tablet (English Grains Healthcare)
27521,9.99211E+15,Rennie Fruit 500mg tablets (Bayer Plc)
29579,1.88085E+17,Opas Tablet (Co-Pharma Ltd)
30595,1.60395E+17,Calcium carbonate 1.25g granules
32569,9.5825E+16,Calcium carbonate 250mg tablets
37152,8.30361E+15,Calcium carbonate 500mg/5ml oral suspension
38917,5.47411E+14,Calcichew Forte chewable tablets (Takeda UK Ltd)
38967,3.16271E+15,Sandocal 1000 effervescent tablets (GlaxoSmithKline Consumer Healthcare)
38971,3.16351E+15,Sandocal 400 effervescent tablets (Novartis Consumer Health UK Ltd)
39377,8.07101E+15,Rennie Soft Chews 800mg chewable tablets (Bayer Plc)
40076,9.5855E+16,Calcium carbonate 500mg tablets
41514,7.825E+15,Calcium lactate 300mg Tablet (Thornton & Ross Ltd)
41529,5.7445E+16,Calcium gluconate 600mg Tablet (Approved Prescription Services Ltd)
41576,5.7465E+16,Calcium lactate 300mg Tablet (Approved Prescription Services Ltd)
41577,7.68911E+14,Calcium lactate 300mg tablets (A A H Pharmaceuticals Ltd)
43273,2.43355E+17,Calcium carbonate capsules
45200,1.47806E+16,Calcium carbonate 250mg dispersible tablets
45754,1.66499E+16,Calcium carbonate 1.25g chewable tablets sugar free (A A H Pharmaceuticals Ltd)
50246,1.38398E+16,Calcichew 500mg chewable tablets (DE Pharmaceuticals)
50767,1.64361E+16,Calcium 600mg chewable tablets
51017,8.30351E+15,Calcium carbonate 600mg/5ml oral suspension
51257,4.56931E+15,Remegel 800mg chewable tablets mint (SSL International Plc)
53348,1.61435E+16,Calcichew 500mg chewable tablets (Lexon (UK) Ltd)
55598,1.88145E+17,Setlers Tablet (GlaxoSmithKline Consumer Healthcare)
57577,1.62601E+16,Cacit 500mg effervescent tablets (Mawdsley-Brooks & Company Ltd)
59471,2.21098E+16,Rennie Orange 500mg chewable tablets (Bayer Plc)
60122,8.07971E+15,Setlers Antacid peppermint chewable tablets (Thornton & Ross Ltd)
62668,2.84908E+16,Alliance Calcium syrup (Alliance Pharmaceuticals Ltd)
62930,2.85659E+16,Calcium gluconate 544mg/5ml / Calcium lactate 276mg/5ml oral solution
64082,7.71931E+15,Calcium carbonate 166.67mg tablets
65740,8.79171E+15,Calcium carbonate 500mg capsules
66882,1.64351E+16,HealthAid Strong Calcium 600mg chewable tablets (HealthAid Ltd)
67283,9.15541E+15,Calcium carbonate 1.25g chewable tablets sugar free (Kent Pharmaceuticals Ltd)
67598,3.19441E+15,Calcium gluconate 1g effervescent tablets (Actavis UK Ltd)
67804,5.52941E+15,Calcichew 1.25g tablets (Dowelhurst Ltd)
70692,1.4203E+16,Calcium carbonate 120mg/5ml oral suspension
72319,1.85621E+16,Calcium carbonate 300mg tablets
73133,2.43365E+17,Calcium carbonate oral solution
74327,8.30421E+15,Calcium carbonate 1.25g/5ml oral suspension
75730,8.30381E+15,Calcium carbonate 250mg/5ml oral suspension
76032,2.10349E+16,Calconate 250mg dispersible tablets (Ennogen Healthcare Ltd)
76986,1.55331E+16,Calcium carbonate 300mg capsules
76989,1.63518E+16,Calcichew 500mg chewable tablets (Mawdsley-Brooks & Company Ltd)
77069,8.30411E+15,Calcium carbonate 125mg/5ml oral suspension
77355,1.08432E+16,Calcichew 500mg chewable tablets (Waymade Healthcare Plc)
2285,329331002,Alfacalcidol 250nanogram capsules
2700,1.08211E+14,One-Alpha 250nanogram capsules (LEO Pharma)
3540,329332009,Alfacalcidol 1microgram capsules
5082,329344007,Alfacalcidol 500nanogram capsules
6476,2.40411E+14,One-Alpha 2micrograms/ml oral drops (LEO Pharma)
7971,1.94285E+17,Alfa-d 0.25microgram Capsule (Berk Pharmaceuticals Ltd)
8197,3.3011E+13,One-Alpha 1microgram capsules (LEO Pharma)
9184,1.51965E+17,One-alpha 0.2 microgram/ml Oral solution (LEO Pharma)
9700,329343001,Alfacalcidol 2micrograms/ml oral drops sugar free
9980,5.93711E+14,One-Alpha 0.5microgram capsules (LEO Pharma)
10664,1.80015E+17,ALFACALCIDOL DROPS 5 MCG LIQ
11347,1.51935E+17,Alfacalcidol 0.2micrograms/ml oral solution
19894,1.51945E+17,Alfacalcidol 2micrograms/ml intravenous injection
23412,1.94295E+17,Alfa-d 1microgram Capsule (Berk Pharmaceuticals Ltd)
26574,2.2595E+16,One-alpha iv 2microgram/ml Intravenous injection (LEO Pharma)
35441,3.58958E+16,Alfacalcidol 1micrograms/0.5ml solution for injection ampoules
36266,3.58961E+16,Alfacalcidol 2micrograms/1ml solution for injection ampoules
42435,7.1811E+13,One-Alpha 1micrograms/0.5ml solution for injection ampoules (LEO Pharma)
42907,5.44411E+14,Alfacalcidol 250nanogram capsules (Teva UK Ltd)
46978,3.13211E+14,Alfacalcidol 500nanogram capsules (Teva UK Ltd)
55410,1.16557E+16,Alfacalcidol 1mg/5ml oral suspension
61588,1.09811E+14,Alfacalcidol 250nanogram capsules (Kent Pharmaceuticals Ltd)
62657,1.96189E+16,One-Alpha 2micrograms/ml oral drops (DE Pharmaceuticals)
7787,329347000,Calcitriol 250nanogram capsules
9046,8.4911E+13,Rocaltrol 250nanogram capsules (Roche Products Ltd)
9774,329348005,Calcitriol 500nanogram capsules
15881,2.97561E+15,Rocaltrol 500nanogram capsules (Roche Products Ltd)
28272,3.61551E+15,Calcijex 1micrograms/1ml solution for injection ampoules (Abbott Laboratories Ltd)
30300,3.61841E+15,Calcijex 2micrograms/1ml solution for injection ampoules (Abbott Laboratories Ltd)
31341,3.61329E+16,Calcitriol 1micrograms/1ml solution for injection ampoules
47493,1.38261E+16,Calcitriol 250nanogram capsules (PLIVA Pharma Ltd)
51905,7.40031E+15,Calcitriol 1micrograms/ml oral solution sugar free
55594,3.6133E+16,Calcitriol 2micrograms/1ml solution for injection ampoules
3331,5.2095E+16,VITAMIN D2 TAB
80173,3.54364E+16,"SunVit-D3 1,000unit Vegan tablets (SunVit-D3 Ltd)"
79710,3.72242E+16,"Valupak Vitamin D3 1,000unit capsules (BR Pharmaceuticals Ltd)"
79539,3.72329E+16,"Colecalciferol 3,000units/ml oral solution (DE Pharmaceuticals)"
79519,3.72154E+16,"Strivit-D3 3,200unit capsules (Strides Pharma UK Ltd)"
79724,3.72158E+16,"Strivit-D3 20,000unit capsules (Strides Pharma UK Ltd)"
79475,3.28462E+16,Natures Aid Vitamin D3 400unit tablets (Natures Aid Ltd)
78590,3.71422E+16,"Pro D3 2,000units/ml Vegan liquid (Synergy Biologics Ltd)"
78679,3.64464E+16,"ColeKal-D3 1,000unit tablets (Essential-Healthcare Ltd)"
78624,2.13747E+16,"Colecalciferol 1,000unit tablets (A A H Pharmaceuticals Ltd)"
78733,3.45025E+16,"Colecalciferol 14,400units/ml oral drops sugar free"
78886,3.08053E+16,"RoyalVit D3 1,000unit tablets (Regence Healthcare Ltd)"
78740,2.1613E+16,"Cubicole D3 1,000unit tablets (Cubic Pharmaceuticals Ltd)"
78316,3.24633E+16,"Solgar Vitamin D3 1,000unit chewable tablets (Solgar Vitamin and Herb)"
78070,3.64462E+16,ColeKal-D3 400unit capsules (Essential-Healthcare Ltd)
77931,3.45806E+16,"Urgent-D 2,000unit chewable tablets (Vega Nutritionals Ltd)"
77969,3.4939E+16,"Premier Vitamin D3 1,000unit tablets (Premier Health Products Ltd)"
78040,2.27789E+16,"E-D3 10,000units/ml oral solution (Ennogen Healthcare Ltd)"
76285,3.41574E+16,"Lamberts Vitamin D3 4,000unit capsules (Lamberts Healthcare Ltd)"
76101,1.73092E+16,Solgar Vitamin D3 600unit capsules (Solgar Vitamin and Herb)
76182,2.23307E+16,"BioLife Vitamin D3 1,000unit tablets (Lifestyle Natural Health Ltd)"
75955,2.66065E+17,Colecalciferol 500 units tablets
75759,3.49432E+16,"ColeKal-D3 4,000unit tablets (Essential-Healthcare Ltd)"
75956,3.28273E+16,"HealthAid Vitamin D3 5,000unit capsules (HealthAid Ltd)"
74353,3.52437E+16,"Pro D3 3,200unit Vegan capsules (Synergy Biologics Ltd)"
74476,3.54374E+16,"SunVit-D3 20,000unit capsules (SunVit-D3 Ltd)"
74501,3.52435E+16,Pro D3 800unit Vegan capsules (Synergy Biologics Ltd)
74471,3.44487E+16,"Sapvit-D3 14,400units/ml oral drops (Stirling Anglian Pharmaceuticals Ltd)"
74152,3.5437E+16,"SunVit-D3 1,000unit capsules (SunVit-D3 Ltd)"
74195,3.28464E+16,"Natures Aid Vitamin D3 1,000unit tablets (Natures Aid Ltd)"
74204,2.21958E+16,"E-D3 10,000unit capsules (Ennogen Healthcare Ltd)"
73782,3.52439E+16,"Pro D3 20,000unit Vegan capsules (Synergy Biologics Ltd)"
73576,1.06943E+16,"Colecalciferol 15,000units/5ml oral solution sugar free"
72818,3.42821E+16,"FSC High Strength Vitamin D3 2,500unit capsules (Bee Health Ltd)"
72927,3.07593E+16,Colecalciferol 400unit capsules (AM Distributions (Yorkshire) Ltd)
72608,3.4581E+16,EveryDay-D 400unit chewable tablets (Vega Nutritionals Ltd)
72481,3.48653E+16,"Vitamin D3 1,000unit oral drops (Nutri Advanced Ltd)"
72619,3.26076E+16,Colecalciferol 400unit tablets (Alissa Healthcare Research Ltd)
72402,3.49426E+16,"ColeKal-D3 1,000unit capsules (Essential-Healthcare Ltd)"
72267,3.48727E+16,"SunVit-D3 25,000unit tablets (SunVit-D3 Ltd)"
72264,3.44775E+16,"SunVit-D3 3,000units/ml oral solution (SunVit-D3 Ltd)"
72254,3.49412E+16,"Colecalciferol 2,500unit tablets"
71829,2.21977E+16,E-D3 600unit capsules (Ennogen Healthcare Ltd)
71801,3.48735E+16,"SunVit-D3 40,000unit capsules (SunVit-D3 Ltd)"
72064,3.48732E+16,"SunVit-D3 2,500unit capsules (SunVit-D3 Ltd)"
71828,2.10152E+16,E-D3 400unit capsules (Ennogen Healthcare Ltd)
71827,2.10156E+16,"E-D3 1,000unit capsules (Ennogen Healthcare Ltd)"
71953,3.28466E+16,"Natures Aid Vitamin D3 5,000unit tablets (Natures Aid Ltd)"
71671,3.48737E+16,SunVit-D3 800unit capsules (SunVit-D3 Ltd)
71617,3.48781E+16,"Colecalciferol 1,000units/ml oral drops sugar free"
71511,3.41735E+16,"SunVit-D3 2,200unit capsules (SunVit-D3 Ltd)"
71235,3.47448E+16,Pro D3 800unit capsules (Synergy Biologics Ltd)
71220,3.44773E+16,"SunVit-D3 15,000units/5ml oral solution (SunVit-D3 Ltd)"
70879,1.06942E+16,"Colecalciferol 10,000units/5ml oral solution sugar free"
70809,3.41744E+16,"SunVit-D3 50,000unit capsules (SunVit-D3 Ltd)"
71195,3.44788E+16,"SunVit-D3 10,000units/5ml oral solution (SunVit-D3 Ltd)"
70721,2.46627E+16,"D-Max 1,000unit capsules (Nutraconcepts Ltd)"
70661,3.44917E+16,"SunVit-D3 2,000units/ml oral solution (SunVit-D3 Ltd)"
70635,3.45852E+16,Colecalciferol 400unit chewable tablets
70718,3.46043E+16,Natures Aid Vitamin D3 400units/ml for infants and children oral drops (Natures Aid Ltd)
70527,3.41738E+16,"SunVit-D3 3,200unit capsules (SunVit-D3 Ltd)"
70436,3.46065E+16,Colecalciferol 400units/ml oral drops sugar free
70531,3.45851E+16,"Colecalciferol 2,000unit chewable tablets"
70363,2.80786E+16,"Colecalciferol 1,000unit capsules (J M McGill Ltd)"
70354,3.28501E+16,"ColeKal-D3 3,200unit capsules (Essential-Healthcare Ltd)"
70202,3.41732E+16,SunVit-D3 400unit capsules (SunVit-D3 Ltd)
70141,3.32322E+16,"SunVit-D3 2,000units/ml oral drops (SunVit-D3 Ltd)"
70320,3.42618E+16,"Colecalciferol 5,600unit capsules"
70142,2.27795E+16,"E-D3 2,000units/ml oral drops (Ennogen Healthcare Ltd)"
70027,3.28471E+16,ColeKal-D3 800unit capsules (Essential-Healthcare Ltd)
69960,3.42614E+16,InVita D3 400unit capsules (Consilient Health Ltd)
69832,3.41741E+16,"SunVit-D3 10,000unit capsules (SunVit-D3 Ltd)"
69833,3.42401E+16,"InVita D3 25,000unit capsules (Consilient Health Ltd)"
69916,3.42404E+16,"InVita D3 5,600unit capsules (Consilient Health Ltd)"
69868,3.42397E+16,"InVita D3 50,000unit capsules (Consilient Health Ltd)"
69912,3.42617E+16,"Colecalciferol 25,000unit capsules"
69724,3.28482E+16,ColeKal-D3 800unit tablets (Essential-Healthcare Ltd)
69731,3.35812E+16,SunVit-D3 400unit tablets (SunVit-D3 Ltd)
69404,3.40224E+16,InVita D3 800unit capsules (Consilient Health Ltd)
69409,3.35815E+16,SunVit-D3 800unit tablets (SunVit-D3 Ltd)
69300,3.241E+16,"SunVit-D3 3,000unit tablets (SunVit-D3 Ltd)"
69168,2.47945E+17,Colecalciferol oral liquid
68958,3.36645E+16,"Fultium daily D3 2,740units/ml drops (Internis Pharmaceuticals Ltd)"
68874,3.3664E+16,Fultium daily D3 400unit capsules (Internis Pharmaceuticals Ltd)
68652,3.26861E+16,Strivit-D3 800unit capsules (Strides Pharma UK Ltd)
68517,3.24516E+16,Aviticol 800unit capsules (Colonis Pharma Ltd)
68713,3.24513E+16,"Aviticol 1,000unit capsules (Colonis Pharma Ltd)"
68632,3.27488E+16,"Colecalciferol 40,000unit tablets"
68150,3.28761E+16,"Colecalciferol 5,000units/ml oral drops sugar free"
68004,3.24717E+16,"Colecalciferol 1,000unit chewable tablets"
67410,2.46417E+16,"D-Max 5,000unit capsules (Nutraconcepts Ltd)"
67509,3.24985E+16,"Colecalciferol 4,000unit tablets"
67199,3.24697E+16,"Desunin 4,000unit tablets (Mylan)"
67013,3.24718E+16,"Colecalciferol 4,000unit capsules"
66764,1.60731E+16,"Colecalciferol 2,000unit capsules"
66293,2.89133E+16,Natures Aid Vitamin D3 200units/drop for infants and children oral drops (Natures Aid Ltd)
66128,2.37563E+16,Kora LiquiD 3000units/ml oral solution (KoRa Healthcare)
65942,2.46625E+16,D-Max 400unit capsules (Nutraconcepts Ltd)
65398,3.09942E+16,"Colecalciferol 50,000units/1ml oral solution unit dose ampoules sugar free"
65367,3.09786E+16,"InVita D3 50,000units/1ml oral solution (Consilient Health Ltd)"
65241,2.83964E+16,"Thorens 25,000units/2.5ml oral solution (Galen Ltd)"
65000,2.97487E+16,"Colecalciferol 2,740units/ml oral drops sugar free"
65001,1.18157E+16,"Colecalciferol 1,000units/5ml oral suspension"
64532,2.83937E+16,"Thorens 10,000units/ml oral drops (Galen Ltd)"
64478,2.97485E+16,"Fultium-D3 2,740units/ml oral drops (Internis Pharmaceuticals Ltd)"
64265,2.9714E+16,"Colecalciferol 3,000units/ml oral solution (A A H Pharmaceuticals Ltd)"
64195,2.16135E+16,"Cubicole D3 20,000unit tablets (Cubic Pharmaceuticals Ltd)"
63957,2.93175E+16,"Colecalciferol 3,000units/ml oral solution (Thame Laboratories Ltd)"
63949,2.92941E+16,"Colecalciferol 3,000units/ml oral solution (Alliance Healthcare (Distribution) Ltd)"
63879,2.16801E+16,"Colecalciferol 1,000unit tablets (Tor Generics Ltd)"
63868,2.19495E+16,"Colecalciferol 1,000unit tablets (Waymade Healthcare Plc)"
63884,2.89416E+16,"Lamberts Vitamin D3 1,000unit capsules (Lamberts Healthcare Ltd)"
63878,2.81095E+16,"Colecalciferol 1,000unit tablets (Colorama Pharmaceuticals Ltd)"
63379,2.88812E+16,"Colecalciferol 2,400units/ml oral drops sugar free"
63104,2.84151E+16,"Colecalciferol 10,000units/ml oral drops sugar free"
63163,2.87842E+16,"Fultium-D3 20,000unit capsules (Internis Pharmaceuticals Ltd)"
63188,2.87941E+16,"InVita D3 2,400units/ml oral drops (Consilient Health Ltd)"
63099,2.25642E+16,Colecalciferol 800unit capsules (A A H Pharmaceuticals Ltd)
63225,2.36291E+16,"Vitamin D3 + Isoflavones 2,000unit tablets (Nutri Advanced Ltd)"
63117,2.46419E+16,"D-Max 10,000unit capsules (Nutraconcepts Ltd)"
62749,2.84152E+16,"Colecalciferol 10,000units/ml oral solution sugar free"
