readcode,medcode,readterm,,,,,,,,,
S23C.00,6213,fracture of lower end of both ulna and radius,,,,,,,,,
S23x000,50654,"closed fracture of forearm, unspecified",,,,,,,,,
S23y000,70590,"open fracture of forearm, unspecified",,,,,,,,,
S24..00,22375,fracture of carpal bone,,,,,,,,,
S24..11,10167,hand fracture - carpal bone,,,,,,,,,
S240.00,15666,closed fracture of carpal bone,,,,,,,,,
S240000,57979,"closed fracture of carpal bone, unspecified",,,,,,,,,
S240F00,73165,"closed fracture carpal bones, multiple",,,,,,,,,
S240y00,56886,closed fracture of other carpal bone,,,,,,,,,
S240z00,33929,closed fracture of carpal bone nos,,,,,,,,,
S241.00,65141,open fracture of carpal bone,,,,,,,,,
S241000,68085,"open fracture of carpal bone, unspecified",,,,,,,,,
S241z00,102013,open fracture of carpal bone nos,,,,,,,,,
S242.00,8056,fracture at wrist and hand level,,,,,,,,,
S242100,7564,fracture of first metacarpal bone,,,,,,,,,
S242200,993,fracture of other metacarpal bone,,,,,,,,,
S242300,4725,multiple fractures of metacarpal bones,,,,,,,,,
S24z.00,43792,fracture of carpal bone nos,,,,,,,,,
S25..00,2888,fracture of metacarpal bone,,,,,,,,,
S25..11,2643,hand fracture - metacarpal bone,,,,,,,,,
S250.00,6392,closed fracture of metacarpal bone(s),,,,,,,,,
S250000,31525,"closed fracture of metacarpal bone (s), site unspecified",,,,,,,,,
S250200,33905,closed fracture finger metacarpal base,,,,,,,,,
S250300,25519,closed fracture finger metacarpal shaft,,,,,,,,,
S250400,12546,closed fracture finger metacarpal neck,,,,,,,,,
S250500,24598,closed fracture finger metacarpal head,,,,,,,,,
S250600,27881,closed fracture finger metacarpal,,,,,,,,,
S250700,52895,"closed fracture finger metacarpal, multiple",,,,,,,,,
S250800,25811,closed fracture of thumb metacarpal,,,,,,,,,
S250A00,50634,closed fracture thumb metacarpal shaft,,,,,,,,,
S250B00,49598,closed fracture thumb metacarpal neck,,,,,,,,,
S250C00,53650,closed fracture thumb metacarpal head,,,,,,,,,
S250z00,6881,closed fracture of metacarpal bone(s) nos,,,,,,,,,
S251.00,29111,open fracture of metacarpal bone(s),,,,,,,,,
S251000,62853,"open fracture of metacarpal bone(s), site unspecified",,,,,,,,,
S251200,73150,open fracture finger metacarpal base,,,,,,,,,
S251300,52305,open fracture finger metacarpal shaft,,,,,,,,,
S251400,52588,open fracture finger metacarpal neck,,,,,,,,,
S251500,53693,open fracture finger metacarpal head,,,,,,,,,
S251600,40361,open fracture finger metacarpal,,,,,,,,,
S251700,72407,"open fracture finger metacarpal, multiple",,,,,,,,,
S251800,60765,open fracture of thumb metacarpal,,,,,,,,,
S251A00,98867,open fracture thumb metacarpal shaft,,,,,,,,,
S251B00,112925,open fracture thumb metacarpal neck,,,,,,,,,
S251C00,102225,open fracture thumb metacarpal head,,,,,,,,,
S251z00,47847,open fracture of metacarpal bone(s) nos,,,,,,,,,
S293.00,8915,multiple fractures of forearm,,,,,,,,,
S352200,11635,closed fracture navicular,,,,,,,,,
S353200,40992,open fracture navicular,,,,,,,,,
S4C..00,18614,fracture-dislocation or subluxation of wrist,,,,,,,,,
S4C0.00,34429,closed fracture dislocation of wrist,,,,,,,,,
S4C0000,17922,closed fracture-dislocation distal radio-ulnar joint,,,,,,,,,
S4C0100,38408,closed fracture-dislocation radiocarpal joint,,,,,,,,,
S4C0200,67584,closed fracture-dislocation mid carpal,,,,,,,,,
S4C0300,27783,"closed fracture-dislocation, carpometacarpal joint",,,,,,,,,
S4C0y00,112915,closed fracture-dislocation other carpal,,,,,,,,,
S4C1.00,42844,open fracture dislocation wrist,,,,,,,,,
S4C1000,9261,"open fracture-dislocation, distal radio-ulnar joint",,,,,,,,,
S4C1100,49256,open fracture-dislocation radiocarpal joint,,,,,,,,,
S4C1300,97476,open fracture-dislocation carpometacarpal joint,,,,,,,,,
S4C2.00,17921,closed fracture-subluxation of the wrist,,,,,,,,,
S4C2000,44652,"closed fracture-subluxation, distal radio-ulnar jt",,,,,,,,,
S4C2100,50148,closed fracture-subluxation radiocarpal joint,,,,,,,,,
S4C2200,103524,closed fracture-subluxation mid carpal,,,,,,,,,
S4C2300,68595,"closed fracture-subluxation, carpometacarpal joint",,,,,,,,,
S4C2y00,100350,closed fracture-subluxation other carpal,,,,,,,,,
S4C3.00,59219,open fracture-subluxation of the wrist,,,,,,,,,
S4C3000,60343,"open fracture-subluxation, distal radio-ulnar joint",,,,,,,,,
S4C3100,46798,open fracture-subluxation radiocarpal joint,,,,,,,,,
S4C3300,94661,"open fracture-subluxation, carpometacarpal joint",,,,,,,,,
Syu5300,102916,[x]fracture of other parts of forearm,,,,,,,,,
Syu5400,52977,"[x]fracture of forearm, unspecified",,,,,,,,,
Syu6300,102155,[x]fracture of other carpal bone(s),,,,,,,,,
Syu6400,71739,[x]fracture of other metacarpal bone,,,,,,,,,
Syu6500,53068,[x]fracture of other & unspecified parts of wrist and hand,,,,,,,,,
Z671500,37740,colles class,,,,,,,,,
